thread no, max, time
4, 3.333330, 0.669065
4, 3.333330, 0.666339
4, 3.333330, 0.664847
4, 3.333330, 0.664292
4, 3.333330, 0.677276
4, 3.333330, 0.685665
4, 3.333330, 0.685776
4, 3.333330, 0.733268
4, 3.333330, 0.778414
4, 3.333330, 0.674052
4, 3.333330, 0.672767
10, 3.333330, 0.527378
10, 3.333330, 0.542630
10, 3.333330, 0.535999
10, 3.333330, 0.521126
10, 3.333330, 0.527369
10, 3.333330, 0.532319
10, 3.333330, 0.537199
10, 3.333330, 0.536019
10, 3.333330, 0.533451
10, 3.333330, 0.537882
10, 3.333330, 0.537789
36, 3.333330, 0.774752
36, 3.333330, 0.580598
36, 3.333330, 0.674350
36, 3.333330, 0.586967
36, 3.333330, 0.598317
36, 3.333330, 0.595034
36, 3.333330, 0.650886
36, 3.333330, 0.650938
36, 3.333330, 0.654098
36, 3.333330, 0.633105
36, 3.333330, 0.615787
